20050101
-4.7,-22.6
0.4,-20.8
2.9,-13.1
-0.6,-13.1
-1.9,-10.8
3,-14
0.5,-12.4
0.9,-12.6
-1.6,-13.6
2.6,-15.1
2.9,-14.6
3.4,-15.3
2.4,-13.6
0.1,-15.8
1.2,-16.6
4.1,-16.9
5,-13.5
2.2,-9.8
3.9,-14.5
4.4,-14.4
-0.1,-11.5
1,-8.1
3.5,-11.6
2.8,-9.9
1.9,-7.9
0.1,-10.6
3.6,-8.2
6.9,-9.2
3.1,-9
1.4,-11.6
1.9,-12.1
1.5,-10.8
3.7,-14.1
3.5,-12.2
1.5,-11.1
-4,-7.4
-4,-8.4
-0.1,-9.6
-2.7,-7.1
-0.6,-6.1
-1.1,-6.9
0,-12.6
5,-9.8
7.5,-12
1.6,-4.1
1.5,-3.4
3.1,-8.4
-0.7,-6.6
-1.5,-12.5
-4,-13.8
2.5,-18.3
8.6,-13.4
12.5,-7.7
3.6,-5
7.6,-7.9
5.8,-5.4
7.9,-10.7
9.1,-2.9
11.5,-6.4
13.1,-6
7,-1.8
3.2,-10.5
0.2,-10.7
12.4,-13.1
16.9,-10.3
18.1,-7.1
16.5,-6.5
21.9,-5.7
10.3,-2.7
2.5,-5.5
2.9,-9.1
9.2,-13.1
11,-5.3
12.8,-4.2
11.2,-4.2
7.4,-4.3
8.8,-8.5
11.9,-3.5
13.2,-1.3
6.8,1.8
12,-3.1
15,-6.9
13.6,-7
18.4,-6.6
20.1,-3
20,-0.7
19.3,-1
14.2,4.6
20.5,-3.4
21.4,-0.8
17.8,6.3
19.2,0.4
20.3,0.9
26.5,0.1
24.9,2.4
30.7,5.2
23.9,8.2
12.8,2.1
10.6,1.4
14.3,-1.2
13.8,4.9
14.9,0.2
20.4,-3.3
19.8,-0.6
18.7,1.4
23.9,2.3
24.9,6.4
25.4,2.9
20.3,8.2
19,-1.2
23.8,-0.7
23.4,1.9
24.5,4
24.5,6
25.3,3.2
29.1,5.9
31.5,6.4
33.6,8.1
31.3,12.2
32.3,12
24.9,16.7
26.2,8.4
28.8,10.4
22.1,12.2
19.5,12.1
24.6,0.9
27.1,9.4
24.2,4.9
22,5
27.8,10.7
28.7,5.8
30.7,9.4
24.1,16.6
27.2,9.9
20.3,11.7
17,11.2
18.7,13.7
25.2,4.4
23.4,10.6
23.7,6.8
27.4,8.3
27.3,6.4
27.5,11.8
28.3,11
27.2,14.4
25.7,11.7
26.2,14.4
25.3,15.4
21.6,12
29.3,11.8
28.3,12.3
29.5,13.1
32.3,8.5
34.2,12.6
32.2,17.4
25.1,14.9
27.6,10.3
30,13.2
29.6,13.2
23.8,16.4
29.3,11.9
31.5,13.8
33.5,13.1
34.5,18.4
32.8,11.4
32.1,12.1
32.9,11.7
35.5,12.5
33.7,16.2
35,15.5
36.7,16
34.4,17.4
39.1,15.6
37.9,18.3
35,19.4
29.2,21.9
27.3,18
29.7,17
25.7,19.6
32.1,12.3
26.8,17.7
26.1,18.8
24.3,17.3
30.7,15.6
30.5,18.2
31.7,20.5
34,17.7
33.3,13.4
30.8,15.1
32.7,14.6
32.8,16.8
33.2,16
32.6,17.6
35.9,17.4
34.7,17.1
32.1,15.7
30.7,19.9
28.4,20.4
28.4,21.6
31.6,21.9
33.7,19.2
34.4,19.1
27.5,20.7
26.9,21.2
30.3,20.6
31,19.1
30.8,18.5
26.8,19.9
32.8,16.5
31.6,17.6
32.4,18.6
28.6,20.4
32.3,18.9
31.3,18.2
27.7,15.6
27.6,15.8
26.7,17.5
27.2,17.8
25.8,20.1
29.5,17.2
28.8,18
31,19.9
33.1,19.3
34.2,24.3
32.9,21
30.3,21.6
32.4,21.2
27.1,18.8
19.9,15.4
22.9,13.4
23.2,13.1
20.9,11.1
23.3,14.4
23,9.7
19.2,14.9
23.3,9.9
26.2,12.6
28.1,14.8
28.6,14
25.9,15.3
24.1,18
26.5,11.8
27.5,10.5
29.5,11.4
24.8,16
23.9,11.4
22.6,6.8
24.4,7.9
25.2,7.5
27.3,10
28.1,8.7
29.6,10.5
28.8,11.4
28.2,13.4
27.6,10.6
27.3,10
21.3,15
20.1,15.8
26.4,16
27.5,10.1
27,11.7
21.6,16.3
17.7,10.3
16.1,11.2
20.8,8.7
22.8,6.7
24.7,8
19.8,13.4
19.1,10.8
18.8,10.3
16,13.5
18.9,13.6
19.6,12
15.9,12.6
13.6,7.3
14.7,7.6
19.6,2.8
21,3.4
15.5,10.3
17.2,4.5
18.1,-0.1
20.9,0.7
21.9,2.4
19.4,3
17.4,11
15.6,8.7
15.2,-1.5
18.8,-2.5
22.2,-1.5
18.5,-0.5
13.1,5.7
10.7,5.5
12.6,7.9
13.8,4
14.1,5.7
17.6,3
19.1,-2.6
18.4,-0.8
17.1,-0.4
15.4,6
13.5,1.9
13.5,-3.8
13.7,-3.6
15.8,-5
16.2,-3.5
20.7,-0.1
20.5,-0.6
21.1,0
18.5,8.5
17.4,-3.5
17.4,-2.8
16.2,-5
18.4,-3.3
17.6,-4.9
17.8,-3.5
13.7,-0.4
10.3,4
8.3,-1
8.6,-4.9
9.4,-2.5
11.3,-4.3
9.9,-1.5
6.5,-3
7.2,-0.6
9.6,-7.8
9.5,-5.3
10.6,-6.8
11,-8.7
11.7,-8.6
14.1,-7.4
15.3,-5.4
9,-0.3
9.7,-10.5
11,-9
5.8,-5
7.9,-8.7
1.9,-7.9
-4.8,-11.6
-1.8,-13.1
0.1,-17.2
1.2,-16.3
4.6,-14.4
7.2,-11.5
0.9,-10.2
0.8,-9.6
1.8,-14.3
0.6,-15.6
-2.7,-11.6
0.9,-18.7
3.1,-17.1
0.1,-17.2
2.6,-18
6.1,-17.1
1.1,-11.4
-4.4,-12.9
7,-16.5
9,-14.9
8.5,-13.8
8.6,-14.5
6.8,-14.7
2.8,-14.3
-1.4,-9.8
3.7,-4.7
2.2,-8.6
1.3,-6.5
5,-7.8
1.3,-10.9
1.1,-4
-1.6,-8.1
-7.7,-12
-4.5,-19.3
-0.7,-18.8
2.7,-14.9
6.2,-17.4
8.3,-14.1
3.9,-11.5
3.7,-3.8
7.3,-8
6.4,-8
6.6,-10.4
3.9,-6.6
1.1,-3.4
-1.4,-4.6
-1.9,-6.3
-2.3,-8.8
0.9,-12.9
1.4,-10.9
1.7,-13
1.8,-12.5
3.7,-9.5
5.7,-10.4
9.5,-12.4
3.9,-3.4
4.2,-6.5
0.3,-5.7
6,-6.4
6.2,-10.5
5.3,-3.8
-0.6,-10
3.7,-13
-0.7,-4.7
2.3,-5.1
3.7,-13.8
1.7,-12.5
5.5,-14.5
10.9,-12.4
12.8,-9.1
13.7,-8
14.9,-5.5
9.3,-6
8.5,-5.4
2.3,-5.4
4.2,-12.2
8.2,-7.5
11.2,-13.4
16.3,-9.7
7.8,-3
8.7,-9.5
9.1,-9
13.1,-6.4
9.4,-4.4
0.2,-6.3
-5.5,-6.9
2.7,-12.5
6.5,-14
10,-9.5
13.9,-5.8
15.3,-4
15.2,-4.2
14.7,-3.5
20.5,-2.9
13.4,4.5
